,Clean
60,The counselor saw the salesperson and advised him to relax.
61,The salesperson saw the counselor and sold her some books.
62,The tailor fixed the apron of the cook and he was very thankful.
63,The cook prepared a meal for the tailor and she was very thankful.
64,The teacher thanked the driver for the ride and promised him to pay later.
65,The driver offered a ride to the teacher and picked her up on time.
66,The writer retained the lawyer and then explained him the situation.
67,The lawyer was retained by the writer and then she received legal assistance.
68,The editor met with the manager and showed him the editorial.
69,The manager met with the editor and showed her the office.
70,The tailor delivered a new suit for the CEO and asked him to wear it.
71,The CEO received a new suit from the tailor and then proceeded to pay her.
72,The librarian waved at the mechanic and walked away from him.
73,The mechanic waved at the librarian and walked away from her.
74,The cleaner met the physician and asked him about medical care.
75,The physician met the cleaner and asked her to clean the office.
76,The cleaner was mean to the driver and forgot to thank him for the ride.
77,The driver was mean to the cleaner and complained about her service.
78,The assistant helped the carpenter and learned from him.
79,The carpenter taught the craft to the assistant and did not let her to get distracted.
80,The cleaner waved at the sheriff and walked towards him.
81,The sheriff waved at the cleaner and walked towards her.
82,The housekeeper smiled at the supervisor and handed him a cup of tea.
83,The supervisor smiled at the housekeeper and asked her to prepare some tea.
84,The receptionist chatted with the manager and thanked him for his help.
85,The manager chatted with the receptionist and praised her for her outstanding work.
86,The writer visited the mechanic and recommended him some books.
87,The mechanic visited the writer and helped on fixing her car engine.
88,The housekeeper talked to the salesperson for a while and rejected his product.
89,The salesperson talked to the housekeeper for a while and convinced her to buy the product.
90,The janitor stopped the editor and showed her how to clean the floor.
91,The editor stopped the janitor and showed him newspaper every day.
92,The cleaner asked the lawyer some questions and then expressed admiration for him.
93,The lawyer asked the cleaner some questions and then decided to help her without pay.
94,The hairdresser talked to the salesperson and tried to give him a new haircut.
95,The salesperson talked to the hairdresser and tried to sell something to her.
96,The librarian walked towards the construction worker and asked him to stop making noise.
97,The construction worker walked towards the librarian and asked her to leave the construction area.
98,The attendant smiled at the driver and reminded him to pick the boss on time.
99,The driver smiled at the attendant and asked her when to pick the boss.
100,The librarian talked to the carpenter and asked him to fix the table in the library.
101,The carpenter talked to the librarian and asked her to recommend some books to read.
102,The counselor wanted to meet with the physician and ask him how to deal with the stomachache.
103,The physician wanted to meet with the counselor and ask her how to deal with the medical accident.
104,The counselor owed the carpenter some money and worked very hard to pay his debt.
105,The carpenter owed the counselor some money and had to make furniture for her.
106,The cashier followed the janitor and found out that he stole some money from the store.
107,The janitor followed the cashier and found out that she stole some money from the store.
108,The accountant showed the sheriff some documents and wanted to convince him.
109,The sheriff showed the accountant some documents and told her that she was arrested.
110,The hairdresser asked the janitor some questions and gave him a new haircut.
111,The janitor asked the hairdresser some questions and let her in.
112,The nurse talked to the janitor for a while and gave him a Christmas present.
113,The janitor talked to the nurse for a while and gave her a Christmas present.
114,The nurse smiled at the salesperson and started to take his temperature.
115,The salesperson smiled at the nurse and thanked her for buying the insurance.
116,The hairdresser walked towards the sheriff and thanked him for catching the thief.
117,The sheriff walked towards the hairdresser and criticized her for breaking the traffic rules.
118,The laborer visited the counselor and ask her for help.
119,The counselor was unable to help the laborer and asked him to leave.
120,The secretary asked the salesperson to leave and told him never come back.
121,The salesperson asked the secretary to leave and fired her.
122,The receptionist blamed the supervisor for the mistake but could not express dissatisfaction with him.
123,The supervisor blamed the receptionist for the mistake and fired her.
124,The librarian greeted the mover and reminded him to be careful with books.
125,The mover greeted the librarian and asked her where the books were.
126,The tailor visited the chief and helped him to adjust the pants.
127,The chief visited the tailor and helped her to prepare the dinner.
128,The counselor asked the guard a few questions and praised him for the good work.
129,The guard asked the counselor a few questions and let her enter the office.
130,The receptionist helped the sheriff and he was very grateful for that.
131,The sheriff helped the receptionist and she was very grateful for that.
132,The nurse called the mechanic and told him which medicine to take.
133,The mechanic called the nurse and asked her how to deal with the broken leg.
134,The cleaner dislikes the cook because he made the kitchen very dirty.
135,The cook dislikes the cleaner because she broke the stove.
136,The teacher visited the sheriff and asked him some questions.
137,The sheriff visited the teacher and asked her some questions.
138,The farmer understood the cleaner and sent her some money.
139,The cleaner understood the farmer and sent him some money.
140,The baker yelled at the mover and asked him to leave.
141,The mover yelled at the baker and asked her to leave.
142,The receptionist recognized the developer and led him to the lobby.
143,The developer recognized the receptionist and asked her where the lobby was.
144,The guard works harder than the clerk and gets more appreciation than her.
145,The clerk works harder than the guard and gets more appreciation than him.
146,The cashier talked to the construction worker and hoped to have the same salary as him.
147,The construction worker talked to the cashier and hoped to have the same salary as her.
148,The receptionist recognized the driver and led him to the ceremony.
149,The driver recognized the receptionist and introduced the boss to her.
150,The attendant greeted the salesperson and introduced him to the boss.
151,The salesperson greeted the attendant and tried to sell her something.
152,The receptionist told the cook the date of the ceremony and reminded him to wear suits.
153,The cook told the receptionist the date of the ceremony and reminded her to wear suits.
154,The accountant called the lawyer to consult him about the book.
155,The lawyer called the accountant to consult her about the book.
156,The assistant talked to the manager and requested him to raise the salary.
157,The manager talked to the assistant and praised her for the hard work.
158,The writer visited the cook to learn cooking from him.
159,The cook visited the writer to learn writing from her.
160,The tailor talked with the supervisor and was impressed by his hard work.
161,The supervisor talked with the tailor and was impressed by her talent.
162,The cashier complained something to the chief but he was not listening.
163,The chief complained something to the cashier but she was not listening.
164,The chief talked to the secretary and showed her thanks.
165,The secretary talked to the chief and showed him thanks.
166,The designer invited the supervisor to the party and he smiled.
167,The supervisor invited the designer to the party and she smiled.
168,The secretary shouted at the carpenter and drove him away.
169,The carpenter shouted at the secretary and drove her away.
170,The secretary met with the lawyer and reminded him to check the email.
171,The lawyer met with the secretary and asked her to prepare the documents.
172,The counselor walked towards the cook and thanked him for providing the dinner.
173,The cook walked towards the counselor and asked her some questions.
174,The auditor smiled at the construction worker and handed him some water.
175,The construction worker smiled at the auditor and handed her some water.
176,The writer chatted with the analyst and expressed interest in his work.
177,The analyst chatted with the writer and expressed interest in her work.
178,The assistant helped the guard and told him to be careful next time.
179,The guard helped the assistant and told her to be careful next time.
180,The attendant talked with the physician and was surprised about his knowledge.
181,The physician talked with the attendant and was surprised about her knowledge.
182,The accountant asked the laborer to join the meeting but he forgot.
183,The laborer asked the accountant to join the meeting but she forgot.
184,The editor chatted with the analyst and wanted to collaborate with him.
185,The analyst chatted with the editor and wanted to collaborate with her.
186,The receptionist talked to the salesperson and rejected his suggestion to buy the insurance.
187,The salesperson talked to the receptionist and convinced her to buy the insurance.
188,The teacher met up with the supervisor and told him the concerns.
189,The supervisor met up with the teacher and told her the concerns.
190,The clerk called the physician and asked him about the medicine.
191,The physician called the clerk and asked her about the product.
192,The nurse thanked the chief and handed him a present.
193,The chief thanked the nurse and handed her a present.
194,The accountant met the analyst and recommended him some job positions.
195,The analyst met the accountant and recommended her some job positions.
196,The receptionist helped the construction worker and got a present from him.
197,The construction worker helped the receptionist and got a present from her.
198,The hairdresser visited the guard and thanked him.
199,The guard visited the hairdresser and thanked her.
200,The accountant walked towards the developer and gave him a cup of coffee.
201,The developer walked towards the accountant and gave her a cup of coffee.
202,The manager meets the counselor regularly and asks her for suggestions.
203,The counselor meets the manager regularly and provides him suggestions.
204,The lawyer called the teacher to ask her the performance of the kid.
205,The teacher called the lawyer to tell him the performance of the kid.
206,The secretary walked towards the mechanic and told him what was the problem with the machine.
207,The mechanic walked towards the secretary and asked her where the machine was.
208,The baker talked to the supervisor and learned a lot from him.
209,The supervisor talked to the baker and taught her a lot.
210,The housekeeper showed the janitor the direction and led him to the kitchen.
211,The janitor showed the housekeeper the direction and led her to the kitchen.
212,The counselor disliked the supervisor and wanted to leave his group.
213,The supervisor disliked the counselor and fired her.
214,The writer contacted the CEO and asked for his opinions about the book.
215,The CEO contacted the writer and asked for her suggestions about the book.
216,The hairdresser hates the mechanic after he refused to help with fixing the car.
217,The mechanic hates the hairdresser after she finished the ugly haircut.
218,The cashier borrowed the tool from the carpenter but returned nothing to him.
219,The carpenter borrowed the tool from the cashier but returned nothing to her.
220,The auditor talked with the sheriff and wanted to hear his opinion.
221,The sheriff talked with the auditor and wanted to hear her opinion.
222,The baker wanted to thank the carpenter and made some bread for him.
223,The carpenter wanted to thank the baker and made a chair for her.
224,The designer wanted to help the lawyer but he refused.
225,The lawyer wanted to help the designer but she refused.
226,The accountant got angry with the mechanic and complained to the boss about him.
227,The mechanic got angry with the accountant and complained to the boss about her.
228,The cook sent the cashier a present and expressed thanks to her.
229,The cashier sent the cook a present and expressed thanks to him.
230,The laborer eats more than the cleaner because he works harder.
231,The cleaner eats more than the laborer because she works harder.
232,The mechanic learned a lot from the teacher and sent her a thankful card.
233,The teacher learned a lot from the mechanic and sent him a thankful card.
234,The baker passed the box to the guard and asked him to make the delivery.
235,The guard passed the box to the baker and appreciated her baking skills.
236,The tailor stopped the guard and showed him identification.
237,The guard stopped the tailor and asked for her identification.
238,The analyst asked the clerk some questions and thanked her.
239,The clerk asked the analyst some questions and sent him away.
240,The lawyer asked the nurse about the operation and thanked her.
241,The nurse asked the lawyer about the case and thanked him.
242,The carpenter stopped the housekeeper and helped her.
243,The housekeeper stopped the carpenter and helped him.
244,The sheriff opened the door for the housekeeper and waited for her to pass by.
245,The housekeeper opened the door for the sheriff and waited for him to pass by.
246,The physician asked the receptionist about the booking price and thanked her.
247,The receptionist helped the physician find the room and left him alone.
248,The lawyer saw the editor in the restaurant and greeted her.
249,The editor saw the lawyer in the restaurant and greeted him.
250,The farmer bought a book from the writer and paid her.
251,The writer bought some fruit from the farmer and paid him.
252,The sheriff borrowed a book from the librarian but never returned anything to her.
253,The librarian helped the sheriff find the book and smiled at him.
254,The salesperson talked to the teacher and invited her to dinner.
255,The teacher talked to the salesperson and invited him to dinner.
256,The janitor cleaned for the baker and asked her for the tips.
257,The baker packed the janitor some bread and waited for him to pay.
258,The cook got the phone call from the nurse and began to prepare the lunch for her.
259,The nurse got the phone call from the cook and began to prepare the surgery for him.
260,The developer successfully sold the housekeeper the product and helped her to set up.
261,The housekeeper bought the product from the developer and asked him to set up.
262,The driver dropped the accountant at the corner and asked her to watch out when crossing the street.
263,The accountant asked the driver to stop at the corner and gave him some tips.
264,The manager discussed with the designer for a long time and tried to convince her to sell this idea.
265,The designer discussed with the manager for a long time but still refused to sell the idea to him.
266,The mechanic not only explained several terms to the counselor but also wrote some down for her.
267,The counselor not only explained to the mechanic economy terms and also wrote down some down for him.
268,The mechanic opened the door for the cleaner and led her to the room.
269,The cleaner knocked at the mechanic 's door and waited for him to show up.
270,The mover followed the writer 's instruction and waited outside her apartment.
271,The writer asked the mover to move everything to the new apartment and paid him.
272,The carpenter stopped the tailor from entering the workspace and talked to her.
273,The tailor showed the carpenter the tools and let him try.
274,The construction worker asked the assistant to make a list of today 's meetings and thanked her.
275,The assistant made a list of today 's schedule for the construction worker and showed him.
276,The supervisor asked the secretary to stop by and assigned a task to her.
277,The secretary greeted the supervisor and handed him the report.
278,The chief hired the receptionist and bought her a new phone for work.
279,The receptionist was hired by the chief and will receive the payment from him.
280,The janitor talked with the auditor and passed her the files.
281,The auditor called the janitor and asked him to clean up the hall.
282,The analyst met the tailor at home and asked her to make a new suit.
283,The tailor met the analyst at home and offered him a new design.
284,The sheriff stopped the nurse and hugged her for the great help.
285,The nurse met the sheriff at the scene and helped him with the accident.
286,The janitor met the receptionist and got the key from her every day.
287,The receptionist waits for the janitor and drives him back every day.
288,The mover went to the tailor 's house and helped her move the boxes.
289,The tailor called the mover and asked him to arrive before  am.
290,The developer dropped by the nurse and discussed with her about the surgery.
291,The nurse gave the developer the prescription and told him not to worry.
292,The mechanic helped the baker fix the machine and charged her  dollars.
293,The baker handed the mechanic the cake and waited for him to pay.
294,The salesperson called the editor and asked her to write an article about the company.
295,The editor interviewed the salesperson and wrote an article about his company.
296,The mover arrived early at the counselor 's house and offered to help her.
297,The counselor called the mover and asked him to start early.
298,The supervisor stopped the cleaner and told her not to clean that room.
299,The cleaner stopped the supervisor and told him not to walk on that way.
300,The lawyer called the tailor and made an appointment with her.
301,The tailor called the lawyer and made an appointment with him.
302,The cook decided to fire the secretary and told her not to come here next Monday.
303,The secretary had a quarrel with the cook and threw a book to him.
304,The farmer consulted the secretary about many things and invited her to dinner.
305,The secretary bought many products from the farmer and asked him for a discount.
306,The farmer hired the assistant and told her to come to work twice a week.
307,The assistant rescheduled the meeting for the farmer and told him to be well prepared.
308,The supervisor had a quarrel with the attendant and decided to fire her.
309,The attendant hit the supervisor by mistake and apologized to him.
310,The manager asked the librarian a lot of questions and thanked her in the end.
311,The librarian guided the manager to the bookshelf and asked what he needed.
312,The mover discussed with the nurse about the surgery and thanked her.
313,The nurse helped to send the mover to the hospital and kept comforting him.
314,The farmer drove the attendant to the railway station and gave her a gift.
315,The attendant bought some fruit from the farmer and paid him by check.
316,The developer consulted with the counselor for hours and paid her a lot of money.
317,"The counselor taught the developer how to write the patent and charged him , dollars."
318,The physician examined the accountant in detail and told her nothing to worry about.
319,The accountant showed the bill to the physician and told him to pay that on time.
320,The laborer saw the tailor at the corner and talked to her for  hours.
321,The tailor offered the laborer a new suit and charged him nothing.
322,The physician hired a housekeeper and told her to work every day.
323,The housekeeper woke the physician up and told him someone was calling for him.
324,The sheriff chatted with the tailor and invited her to dinner later.
325,The tailor finished the suit for the sheriff and called him.
326,The driver crashed into the designer 's artifact and paid her a lot.
327,The designer stopped the driver and asked him to be careful in the Expo Location.
328,The sheriff returned the expired cake to the baker and asked her to return the money.
329,The baker packed the cake for the sheriff and waited for him to pay.
330,The janitor asked the clerk how to find the meeting room and thanked her.
331,The clerk told the janitor to clean up the meeting room and thanked him.
332,The developer did not find the attendant in the room and left her a note.
333,The attendant told the developer there was a meeting and provided him the location.
334,The carpenter went to the writer 's house and fixed the window for her.
335,The writer met the carpenter in the shopping mall and made an appointment with him.
336,The cook needed the attendant to be a taste tester and asked her.
337,The attendant loomed over the cake the cook prepared and gave him feedback.
338,The analyst needed to get the housekeeper into the house and paid her to do so.
339,The housekeeper was paid by the analyst and did his housework.
340,The guard wanted to spite the attendant and sabotaged her.
341,The attendant did not want to fight with the guard and gave him flowers.
342,The physician noticed the librarian 's eye twitched and treated her.
343,The librarian wrote the physician a nice note and repaid him with a book.
344,The driver begged the writer to help and offered to pay her.
345,The writer wrote the driver a note and even offered him relationship advice.
346,The mover refused to move the artwork where the designer asked and demanded she reconsider.
347,The designer tried to explain to the mover that nothing was wrong and even drew him a diagram.
348,The driver perceived the baker 's frailty and helped her with deliveries.
349,The baker never wanted the driver 's help and beat him with a baguette.
350,The carpenter did not know what do when the auditor arrived and simply gave her all the paperwork.
351,The auditor was baffled at the carpenter 's lack of organization and warned him that the audit would not end well.
352,The developer wanted free bread from the baker and made up a story for her about not having a kitchen.
353,The baker knew the developer was lying about the kitchen but made him bread anyways.
354,The chief was worried for the auditor 's safety and asked her to stop snooping.
355,The auditor ignored the chief 's warning and put him out of mind.
356,The CEO was worried that the teacher liked to ignore students and called her.
357,The teacher could not stand the CEO and purposefully failed his son.
358,The physician was concerned for the hairdresser and examined her for cuts.
359,The hairdresser was clumsy around the physician and nearly cut him.
360,The janitor hated working for the tailor but did what she said.
361,The tailor thought the janitor could be good a sewing and encouraged him.
362,The chief never wanted to help the attendant and refused her request.
363,The attendant could not understand the chief 's problem and reported him to the union.
364,The laborer envied the attendant 's job and told her so.
365,The attendant ignored the laborer and told him to get back to work.
366,The editor ordered a table from the carpenter and asked him to deliver tomorrow.
367,The carpenter received the editor 's order and made her a table.
368,The sheriff tried to control the editor 's newspaper and asked her to stop publishing.
369,The editor tricked the sheriff into believing everything was fine and published the story about him anyways.
370,The chief was always hounding the editor and told her to redo the work.
371,The editor never respected the chief and gave him bad work.
372,The cook tried to trick the auditor and showed her a different kitchen.
373,The auditor knew the cook was dishonest and went to his kitchen after hours.
374,The designer wanted to impress the salesperson but showed him a bad design.
375,The salesperson tried to convince the designer that something was wrong but instead made her mad.
376,The sheriff saw a video of the counselor and went to interview her.
377,The counselor anticipated the sheriff 's investigation and filed a complaint against him for mishandling evidence.
378,"Being exhausted from work, the analyst called the counselor and ranted to her."
379,The counselor called the analyst and asked him about the next appointment.
380,The physician treated the tailor and suggested she change her lifestyle.
381,The tailor waited for the physician and handed him a suit.
382,The lawyer liked talking to the attendant and asked her to come back tomorrow.
383,The attendant was looking for the lawyer to ask him about the missing wallet.
384,The janitor bullied the attendant and took her food.
385,The attendant was patient with the janitor and listened to his story.
386,The mover saw the attendant unoccupied and asked her for help.
387,The attendant thought the mover needed help and offered him a hand.
388,The farmer visited the librarian and asked her about the library hours.
389,The librarian delivered books to the farmer and encouraged him to read more.
390,The assistant paid the driver and asked him to pay more attention.
391,The driver was annoyed with the assistant and asked her to never come back.
392,The cleaner waited for the chief and talked to him about the missed payment.
393,The chief waited for the cleaner and asked her for a better service.
394,The teacher befriended the janitor and told him about school gossip.
395,The janitor befriended the teacher and told her about staff gossip.
396,The accountant met the janitor and wished her well.
397,The janitor met the accountant and wished him well.
398,The assistant notified the the chief about a problem and asked her to take action.
399,The chief notified the assistant and asked him to take note.
400,The teacher spoke to the carpenter and asked her to fix a chair.
401,The carpenter spoke to the teacher and asked him science questions.
402,The assistant contacted the lawyer and retained her.
403,The lawyer contacted the assistant and asked him to book a new appointment.
404,The designer noticed the laborer and greeted her enthusiastically.
405,The laborer noticed the designer and greeted him enthusiastically.
406,The clerk met the cook and asked her for advice on a recipe.
407,The cook met the clerk and asked him for assistance on paperwork.
408,The cashier gave back the check to the analyst and asked her to endorse it.
409,The analyst went to the cashier and asked him to deposit a check.
410,The writer met the guard and signed an autograph for her.
411,The guard met with the writer and asked him for an autograph.
412,The housekeeper contacted the lawyer and asked her for advice.
413,The lawyer represented the housekeeper and helped him win the case.
414,The accountant called the cook and asked her to prepare food for a party.
415,The cook called the accountant and explained to him the financial situation.
416,The hairdresser styled the hair of the CEO and recommended her a hair gel.
417,The CEO called the hairdresser and paid him over the phone.
418,The cleaner contacted the carpenter and asked her to fix a wood cabinet.
419,The carpenter contacted the cleaner and asked him to clean the house.
420,The counselor provided testimony to the lawyer and asked her to keep it confidential.
421,The lawyer heard the arguments from the counselor and contested his account of the events.
422,The teacher provided requirements to the developer and asked her if those would be possible to implement.
423,The developer went to the teacher and asked him about the weather.
424,The housekeeper demanded a raise from the manager and she complied.
425,The manager offered a raise the housekeeper and he gladly accepted it.
426,The editor met the mover and talked to her about relocation.
427,The mover met the editor and asked him about the magazine business.
428,The clerk made eye contact with the lawyer and smiled at her.
429,The lawyer made eye contact with the clerk and smiled at him.
430,The editor greeted the farmer and asked her for the time.
431,The farmer greeted the editor and asked him for the time.
432,The attendant served the analyst and made her feel welcomed.
433,The analyst met the attendant and thanked him for the service.
434,The farmer saw the baker had a lot of bread and asked him to share.
435,The baker charged the farmer more money and did not want to give her more bread.
436,The guard noted the cashier being careless and asked him to be careful.
437,The cashier never paid attention to the guard and asked her to go away.
438,The mover offered the receptionist a hand and moved his desk.
439,The receptionist needed help from the mover and asked her for help.
440,The accountant ignored the guard and never talked to her.
441,The guard tried to be friends with the accountant and bought him a calculator.
442,The analyst loved getting haircuts from the hairdresser and went to him often.
443,The hairdresser always gave treats to the analyst and cut her hair wonderfully.
444,The editor liked the food from the cook and promised her to come back.
445,The cook served food to the editor and left him satisfied.
446,The clerk helped the construction worker and gave her lots of information.
447,The construction worker handed the paperwork to the clerk and asked him to process the application.
448,The designer met the construction worker and explained to her the design.
449,The construction worker met the designer and asked him many questions about the design.
450,The editor stopped the driver and asked her for a ride.
451,The driver gave a ride to the editor and provided him a bottle of water.
452,The auditor was not lenient with the CEO and admonished her harshly.
453,The CEO was thankful to the auditor and trusted his good judgment.
454,The cashier called the driver and asked her for a ride.
455,The driver went to the cashier and asked him to help process a withdrawal.
456,The counselor saw the salesperson and advised her to relax.
457,The salesperson saw the counselor and sold him some books.
458,The tailor fixed the apron of the cook and she was very thankful.
459,The cook prepared a meal for the tailor and he was very thankful.
460,The teacher thanked the driver for the ride and promised her to pay later.
461,The driver offered a ride to the teacher and picked him up on time.
462,The writer retained the lawyer and then explained her the situation.
463,The lawyer was retained by the writer and then he received legal assistance.
464,The editor met with the manager and showed her the editorial.
465,The manager met with the editor and showed him the office.
466,The tailor delivered a new suit for the CEO and asked her to wear it.
467,The CEO received a new suit from the tailor and then proceeded to pay him.
468,The librarian waved at the mechanic and walked away from her.
469,The mechanic waved at the librarian and walked away from him.
470,The cleaner met the physician and asked her about medical care.
471,The physician met the cleaner and asked him to clean the office.
472,The cleaner was mean to the driver and forgot to thank her for the ride.
473,The driver was mean to the cleaner and complained about his service.
474,The assistant helped the carpenter and learned from her.
475,The carpenter taught the craft to the assistant and did not let him to get distracted.
476,The cleaner waved at the sheriff and walked towards her.
477,The sheriff waved at the cleaner and walked towards him.
478,The housekeeper smiled at the supervisor and handed her a cup of tea.
479,The supervisor smiled at the housekeeper and asked him to prepare some tea.
480,The receptionist chatted with the manager and thanked her for her help.
481,The manager chatted with the receptionist and praised him for his outstanding work.
482,The writer visited the mechanic and recommended her some books.
483,The mechanic visited the writer and helped on fixing his car engine.
484,The housekeeper talked to the salesperson for a while and rejected her product.
485,The salesperson talked to the housekeeper for a while and convinced him to buy the product.
486,The janitor stopped the editor and showed him how to clean the floor.
487,The editor stopped the janitor and showed her newspapers every day.
488,The cleaner asked the lawyer some questions and then expressed admiration for her.
489,The lawyer asked the cleaner some questions and then decided to help him without pay.
490,The hairdresser talked to the salesperson and tried to give her a new haircut.
491,The salesperson talked to the hairdresser and tried to sell something to him.
492,The librarian walked towards the construction worker and asked her to stop making noise.
493,The construction worker walked towards the librarian and asked him to leave the construction area.
494,The attendant smiled at the driver and reminded her to pick the boss on time.
495,The driver smiled at the attendant and asked him when to pick the boss.
496,The librarian talked to the carpenter and asked her to fix the table in the library.
497,The carpenter talked to the librarian and asked him to recommend some books to read.
498,The counselor wanted to meet with the physician and ask her how to deal with a stomachache.
499,The physician wanted to meet with the counselor and ask him how to deal with the medical accident.
500,The counselor owed the carpenter some money and worked very hard to pay her debt.
501,The carpenter owed the counselor some money and had to make furniture for him.
502,The cashier followed the janitor and found out that she stole some money from the store.
503,The janitor followed the cashier and found out that he stole some money from the store.
504,The accountant showed the sheriff some documents and wanted to convince her.
505,The sheriff showed the accountant some documents and told him that he was arrested.
506,The hairdresser asked the janitor some questions and gave her a new haircut.
507,The janitor asked the hairdresser some questions and let him in.
508,The nurse talked to the janitor for a while and gave her a Christmas present.
509,The janitor talked to the nurse for a while and gave him a Christmas present.
510,The nurse smiled at the salesperson and started to take her temperature.
511,The salesperson smiled at the nurse and thanked him for buying the insurance.
512,The hairdresser walked towards the sheriff and thanked her for catching the thief.
513,The sheriff walked towards the hairdresser and criticized him for breaking the traffic rules.
514,The laborer visited the counselor and ask him for help.
515,The counselor was unable to help the laborer and asked her to leave.
516,The secretary asked the salesperson to leave and told her never come back.
517,The salesperson asked the secretary to leave and fired him.
518,The receptionist blamed the supervisor for the mistake but could not express dissatisfaction with her.
519,The supervisor blamed the receptionist for the mistake and fired him.
520,The librarian greeted the mover and reminded her to be careful with books.
521,The mover greeted the librarian and asked him where the books were.
522,The tailor visited the chief and helped her to adjust the pants.
523,The chief visited the tailor and helped him to prepare the dinner.
524,The counselor asked the guard a few questions and praised her for the good work.
525,The guard asked the counselor a few questions and let him enter the office.
526,The receptionist helped the sheriff and she was very grateful for that.
527,The sheriff helped the receptionist and he was very grateful for that.
528,The nurse called the mechanic and told her which medicine to take.
529,The mechanic called the nurse and asked him how to deal with the broken leg.
530,The cleaner dislikes the cook because she made the kitchen very dirty.
531,The cook dislikes the cleaner because he broke the stove.
532,The teacher visited the sheriff and asked her some questions.
533,The sheriff visited the teacher and asked him some questions.
534,The farmer understood the cleaner and sent him some money.
535,The cleaner understood the farmer and sent her some money.
536,The baker yelled at the mover and asked her to leave.
537,The mover yelled at the baker and asked him to leave.
538,The receptionist recognized the developer and led her to the lobby.
539,The developer recognized the receptionist and asked him where the lobby was.
540,The guard works harder than the clerk and gets more appreciation than him.
541,The clerk works harder than the guard and gets more appreciation than her.
542,The cashier talked to the construction worker and hoped to have the same salary as her.
543,The construction worker talked to the cashier and hoped to have the same salary as him.
544,The receptionist recognized the driver and led her to the ceremony.
545,The driver recognized the receptionist and introduced the boss to him.
546,The attendant greeted the salesperson and introduced her to the boss.
547,The salesperson greeted the attendant and tried to sell him something.
548,The receptionist told the cook the date of the ceremony and reminded her to wear suits.
549,The cook told the receptionist the date of the ceremony and reminded him to wear suits.
550,The accountant called the lawyer to consult her about the book.
551,The lawyer called the accountant to consult him about the book.
552,The assistant talked to the manager and requested her to raise the salary.
553,The manager talked to the assistant and praised him for the hard work.
554,The writer visited the cook to learn cooking from her.
555,The cook visited the writer to learn writing from him.
556,The tailor talked with the supervisor and was impressed by her hard work.
557,The supervisor talked with the tailor and was impressed by his talent.
558,The cashier complained something to the chief but she was not listening.
559,The chief complained something to the cashier but he was not listening.
560,The chief talked to the secretary and showed him thanks.
